Brand Name,Shirt Name,Rating,Price,URL,No. of ratings,Colour,Sleeve,Neck,Material,Fit Type,PG
Tripr,Boys Printed Cotton Blend T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-cotton-blend-t-shirt/p/itm55e09afa8f899?pid=KTBFZM7S6QZU9MMF&lid=LSTKTBFZM7S6QZU9MMFFOD0SB&marketplace=FLIPKART&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZM7S6QZU9MMF.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,2264,Red-Grey,Full Sleeve,Hooded,80% Cotton-20% Polyester,Regular,1
Miss & Chief,"Boys Printed, Solid Pure Cotton T Shirt",4.5,399.0,https://www.flipkart.com/miss-chief-boys-printed-solid-pure-cotton-t-shirt/p/itm7aac57314ee20?pid=KTBFZ5EJQJGSAVZH&lid=LSTKTBFZ5EJQJGSAVZH1QKFRF&marketplace=FLIPKART&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ5EJQJGSAVZH.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,4,Orange||Dark Blue,Half Sleeve,Round Neck,Cotton,Regular,1
Tripr,Boys Solid Pure Cotton T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-solid-pure-cotton-t-shirt/p/itm10d20e035576e?pid=KTBFZC98NGTADH2K&lid=LSTKTBFZC98NGTADH2K8LYDXO&marketplace=FLIPKART&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZC98NGTADH2K.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,211,Navy Blue,Full Sleeve,Hooded,100%Cotton,Regular,1
Tripr,Boys Printed Pure Cotton T Shirt,4.2,399.0,https://www.flipkart.com/tripr-boys-printed-pure-cotton-t-shirt/p/itmbc2b56ddfd8f2?pid=KTBFP2SCZHWEYPRS&lid=LSTKTBFP2SCZHWEYPRSZR3DXQ&marketplace=FLIPKART&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=en_XTMlzSqNxAt5CtmfMz%2B7X6Oah6f3QOaTOoaw%2FHQ%2F%2BIa95l6Gh2Jct9F9EGZyb9i8Ps6SCmW4l1ZLLcTkWwKIcg%3D%3D&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,453,Grey-Red,Full Sleeve,V-neck,80% Cotton-20% Polyester,Regular,1
Allen Solly,Boys Striped Cotton Blend T Shirt,4.2,759.0,https://www.flipkart.com/allen-solly-boys-striped-cotton-blend-t-shirt/p/itmfgyrp6uqhpfa9?pid=KTBFHZDGHYEH3FG8&lid=LSTKTBFHZDGHYEH3FG8LIHZGR&marketplace=FLIPKART&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFHZDGHYEH3FG8.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,110,Red,Short Sleeve,Polo Neck,Cotton,Regular,1
Miss & Chief,"Boys Printed, Solid Pure Cotton T Shirt",4.5,519.0,https://www.flipkart.com/miss-chief-boys-printed-solid-pure-cotton-t-shirt/p/itm2aab9fcf7718d?pid=KTBFZ5EBNMBH4HPH&lid=LSTKTBFZ5EBNMBH4HPHHLLRC4&marketplace=FLIPKART&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZ5EBNMBH4HPH.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,17,Dark Green||Dark Blue||Orange,Half Sleeve,Round Neck,Cotton,Regular,1
FabTag - Kiddeo,Boys Printed Cotton Blend T Shirt,4.2,699.0,https://www.flipkart.com/fabtag-kiddeo-boys-printed-cotton-blend-t-shirt/p/itmf3w88zvgfmzzz?pid=KTBFFGJEMBNYWTZJ&lid=LSTKTBFFGJEMBNYWTZJDQFISJ&marketplace=FLIPKART&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFFGJEMBNYWTZJ.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,2343,Multicolor,Half Sleeve,Round Neck,Cotton,Regular,1
Kuchipoo,Boys & Girls Printed Cotton Blend T Shirt,4.1,599.0,https://www.flipkart.com/kuchipoo-boys-girls-printed-cotton-blend-t-shirt/p/itmf3w7zwk5gu4yr?pid=KTBF3HWUCUQTJCW4&lid=LSTKTBF3HWUCUQTJCW4ZCSSQZ&marketplace=FLIPKART&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBF3HWUCUQTJCW4.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,1049,Multicolour,Sleeveless,Round Neck,Cotton,Regular,1
Tripr,Boys Printed Pure Cotton T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-pure-cotton-t-shirt/p/itme588b032529b9?pid=KTBFZUFQUFVGZH2G&lid=LSTKTBFZUFQUFVGZH2GNQSH7R&marketplace=FLIPKART&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=1d80f60d-38d2-42f3-834a-52312f58290d.KTBFZUFQUFVGZH2G.SEARCH&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,1714,Navy Blue,Full Sleeve,Round Neck,100% Cotton,Regular,1
Tripr,Boys Printed Cotton Blend T Shirt,4.1,399.0,https://www.flipkart.com/tripr-boys-printed-cotton-blend-t-shirt/p/itmf9960bd0bf230?pid=KTBFZM7SBGYYBNSE&lid=LSTKTBFZM7SBGYYBNSEQTR1KU&marketplace=FLIPKART&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=en_XTMlzSqNxAt5CtmfMz%2B7X6Oah6f3QOaTOoaw%2FHQ%2F%2BIY6JyjdpUMZksUinz8LRAHKWnuGERn0yivVzB%2FrAd4WLw%3D%3D&ssid=luvhlx99z40000001594650280812&qH=406e05abfdea97a8,2264,NavyBlue-Grey,Full Sleeve,Hooded,80% Cotton-20% Polyester,Regular,1
