Brand Name,Shirt Name,Rating,Price,URL,No. of ratings,Colour,Sleeve,Neck,Material,Fit Type,PG
Reifica,"Solid Women Round Neck Maroon, Yellow T-Shirt",4.2,449.0,https://www.flipkart.com/reifica-solid-women-round-neck-maroon-yellow-t-shirt/p/itmfggdanuzzvzwe?pid=TSHFGGYCXSXC8XMJ&lid=LSTTSHFGGYCXSXC8XMJCWMZUJ&marketplace=FLIPKART&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFGGYCXSXC8XMJ.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,3795,"Maroon, Yellow",Short Sleeve,Round Neck,Pure Cotton,Regular Fit,1
LEWEL,"Printed, Color Block Women Round Neck White, Black, Yel...",3.6,370.0,https://www.flipkart.com/lewel-printed-color-block-women-round-neck-white-black-yellow-t-shirt/p/itmd2fdefc111ef2?pid=TSHFPFGK6ECF9SG5&lid=LSTTSHFPFGK6ECF9SG5T1P2RH&marketplace=FLIPKART&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=en_W9FIQrMconIuxj2eFNePG%2BIwlX5c6dGZhkloD5q5owM7hyp7S5sFSrOGIJ1xKP7v6pZcMAebEeaWhAOzIT2cMQ%3D%3D&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,19,White,Half Sleeve,Round Neck,Pure Cotton,Regular,1
MODEVE,Printed Women Round Neck Multicolor T-Shirt,4.1,799.0,https://www.flipkart.com/modeve-printed-women-round-neck-multicolor-t-shirt/p/itmffgw2g6uzuhtq?pid=TSHFEYD7FYRKVGCM&lid=LSTTSHFEYD7FYRKVGCM1JXWGM&marketplace=FLIPKART&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFEYD7FYRKVGCM.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,4620,AnthraBlack and Cream,Short Sleeve,Round Neck,Cotton Blend,Smart Fit,1
CRAFTLY,Solid Women Round Neck Dark Blue T-Shirt,4.2,269.0,https://www.flipkart.com/craftly-solid-women-round-neck-dark-blue-t-shirt/p/itm55140f25da5b0?pid=TSHFMFGPV69HUSF5&lid=LSTTSHFMFGPV69HUSF5BHW4JN&marketplace=FLIPKART&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFMFGPV69HUSF5.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,1370,ROYAL BLUE,Half Sleeve,Round Neck,Cotton Silk,FREE SIZE,1
SharkTribe,"Printed Women Round Neck Black, Pink T-Shirt",,501.0,https://www.flipkart.com/sharktribe-printed-women-round-neck-black-pink-t-shirt/p/itm6c458386577fb?pid=TSHFPSABENGEVMSQ&lid=LSTTSHFPSABENGEVMSQFGLXVI&marketplace=FLIPKART&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFPSABENGEVMSQ.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,,"Black, Coral",Half Sleeve,Round Neck,Pure Cotton,Slim Fit,1
BASE 41,Solid Women Round Neck Green T-Shirt,4.0,289.0,https://www.flipkart.com/base-41-solid-women-round-neck-green-t-shirt/p/itm2c8397de58ef7?pid=TSHFPA9ZEZ7BUJKB&lid=LSTTSHFPA9ZEZ7BUJKBUUVGOJ&marketplace=FLIPKART&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFPA9ZEZ7BUJKB.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,6349,OLIVE GREEN,Short Sleeve,Round Neck,Hosiery,REGULAR,1
Tap in,Color Block Women Round Neck Yellow T-Shirt,4.0,269.0,https://www.flipkart.com/tap-color-block-women-round-neck-yellow-t-shirt/p/itm69de994510f7b?pid=TSHFHHZZYFG7XCWZ&lid=LSTTSHFHHZZYFG7XCWZVV3LK1&marketplace=FLIPKART&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=89e1a396-49e2-4507-88e3-b9cf49ae49da.TSHFHHZZYFG7XCWZ.SEARCH&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,1193,Red,Half Sleeve,Round Neck,Hosiery,Slim,1
LEWEL,"Printed, Color Block Women Collared Neck White, Black, ...",4.1,419.0,https://www.flipkart.com/lewel-printed-color-block-women-collared-neck-white-black-yellow-t-shirt/p/itm8a0c652f85b4f?pid=TSHFPCJYTEGPH7GJ&lid=LSTTSHFPCJYTEGPH7GJA7LQ0G&marketplace=FLIPKART&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=en_W9FIQrMconIuxj2eFNePG%2BIwlX5c6dGZhkloD5q5owOMbw2Aaf4A2xSGz70h8tOo1LISTctriXCWGyyJtGpqLw%3D%3D&ssid=ecdbyr1bio0000001594640411962&qH=745024300dc73418,40,"White, Yellow",Full Sleeve,Collared Neck,Pure Cotton,Regular,1
MIDAAS,Solid Women Round Neck Dark Blue T-Shirt,4.1,209.0,https://www.flipkart.com/midaas-solid-women-round-neck-dark-blue-t-shirt/p/itmf3ygm65wphxsf?pid=TSHEXNRZWHXU5QV5&lid=LSTTSHEXNRZWHXU5QV5CZKTJZ&marketplace=FLIPKART&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=ad21592b-6d90-4bab-b9b3-a3b4c2d3f5b3.TSHEXNRZWHXU5QV5.SEARCH&ssid=l8s07peopc0000001594640447287&qH=745024300dc73418,3427,Navy,Half Sleeve,Round Neck,Cotton Blend,Regular Fit,2
Ericia,Solid Women Round Neck Red T-Shirt,3.9,249.0,https://www.flipkart.com/ericia-solid-women-round-neck-red-t-shirt/p/itmd54cb1c8cca58?pid=TSHFPS6YGGGHKKH8&lid=LSTTSHFPS6YGGGHKKH8O3JI4N&marketplace=FLIPKART&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=ad21592b-6d90-4bab-b9b3-a3b4c2d3f5b3.TSHFPS6YGGGHKKH8.SEARCH&ssid=l8s07peopc0000001594640447287&qH=745024300dc73418,191,Red,Half Sleeve,Round Neck,Cotton Blend,Regular,2
